indice,gauche,droit,texte,image
0,1,0,"Bienvenue sur Phoenix Adventure. Tu t’apprêtes à te plonger dans une histoire interactive.
Chaque choix que tu feras aura une importance sur l’histoire, choisis bien !
Pour avancer clique sur « Suivant ».
Pour faire un choix, clique sur le bouton correspondant à ton choix [GAUCHE] ou [DROIT].",10.png
1,2,0,"Tu ouvres les yeux sur un tapis de mousse. Tu te relèves pour regarder où tu es. De toute évidence tu es dans une forêt. La lumière qui filtre à travers les arbres donne un aspect surréaliste au sous bois, comme s'il était enchanté. 
Comment t’es tu retrouvé ici ? Tu n’en as pas la moindre idée. Tu ne sais ni où tu es, ni ce que tu fais ici, où tout ce qui précède le moment où tu as ouvert les yeux. 
Soudain tu entends, au travers des chants d’oiseaux, une voix lointaine, plusieurs voix en réalité. Tu décides de marcher dans leur direction.",1.png
2,3,0,"Les voix se muent en conversations. En sortant du sous bois tu te retrouves à l'entrée d'un village. Un jeune homme, probablement habitant le village, s’adresse à toi : 
- Bonjour étranger qui es-tu ? 
- Je ... Je ne sais plus et je crois que je suis perdu. Je ne sais pas comment je me suis retrouvé ici. Où sommes nous ? 
Le villageois reste interdit un instant et s’exclame:
- Je pense que tu trouveras tes réponses auprès du phœnix. Il est là bas plus loin dans la forêt. 
Comment un phœnix pourrait-il te venir en aide ? Et c'est quoi un 'phœnix' ??",2.png
3,4,5,"Tu quittes le village et continues ton chemin dans la forêt, tu aperçois le phœnix. Une fois face à lui tu hésites. Après avoir vérifié que personne ne pourrait remarquer l'étrangeté de ton action, tu lui demandes:
- Excuse moi ? Eu.. Je suis perdu et on m'a dit de venir te voir...
L'oiseau ne répond pas. Après tout, à quoi t'attendais-tu, les oiseaux ne parlent pas.
Tu t'apprêtes à faire demi-tour lorsque le phœnix te répond:
- Cela fait longtemps que j’attends ton arrivée. Je vais t’aider à trouver ton chemin. Mais avant cela, que souhaites-tu faire ? Veux-tu aller 
[GAUCHE] dans un château ou
[DROITE] dans un marais",3.png
4,6,0,"Tu sors de la forêt en étant guidé par le phœnix. Tu ne sais pas en quoi allez dans un château te permettra de te rappeler qui tu es et pourquoi tu étais là, mais au moins tu trouveras des gens civilisés. Tu espères. 
Vous marchez sur un long sentier qui traverse plusieurs hamaux et villages. Tu es épuisé quand, enfin, tu vois au loin un château. Il est impressionnant de par sa taille mais en même temps tu éprouves un certain oppressement, sans savoir pourquoi.
- C’est le fameux château de Hargöl, t’indique ton nouveau compagnon. 
Vous atteignez enfin l’entrée. Les gardes écarquillent les yeux en regardant alternativement toi et le phœnix. Ils vous demandent ensuite de les suivre. 
Il est bien facile d'entrer dans ce château.. ",4.png
5,167,0,"Tu sors de la forêt en étant guidé par le phœnix. 
Vous empruntez des sentiers, qui n'en portent que le nom, vous faisant traverser de nombreuses forêts. Tu es épuisé quand vous arrivez au niveau d'un marécage humide et peu rassurant.
Tu es plutôt effrayé par ce lieu. Tu aperçois une cabane au loin. Ton phoenix t'indique d'y aller. Alors que tu te rapproches des corbeaux, qui poussent des cris effroyables, se prennent de la bonne idée de vous accompagner. 
Tu t’approches de l’entrée et toque à la porte. Une vieille voix fatiguée s’exclame 
- Oui entre donc !",5.jpg
6,7,0,"Tu pénètres dans la salle du trône escorté des gardes. Un homme est assit au bout de l'allée sur un énorme trône en or, très certainement le roi. Il se lève et marche rapidement jusqu’à toi. L'angoisse commence à monter en toi. Que te veut-t-il ? 
Il pose alors ses mains sur tes épaules et affiche un sourire chaleureux. 
- Bienvenue mon cher. Pourquoi me regardes-tu de la sorte ? Dit-il alors que tu restes interdit face à son accueil chaleureux.",6.png
7,8,9,"Cela fait si longtemps que je ne t'ai pas vu. Tu es adulte maintenant ! J'ai été peiné d'apprendre le décès de tes parents, mais saches que tu es toujours un membre important à la cour et dans mon cœur. 
Je n'attendais pas ta venue aussi tôt. Nous allons avoir à parler d'un sujet important. Mais avant cela, tu sembles perdu. Aurais-tu des questions ?
[GAUCHE] - Je ne sais pas comment je me suis retrouvé ici. Je n’ai plus de souvenir.  
[DROITE] - Savez vous qui est ce phœnix, pourquoi m'a-t-il conduit à vous ?",6.png
8,10,0,"- Ce n’est rien, tu ne t’en souviens certainement pas mais tu as déjà eu de nombreux épisodes de perte de mémoire quand tu étais jeune. Elle va te revenir. En attendant, fies toi à moi. Il faut que nous nous entretenions sur la raison de ta présence ici, le temps nous est compté",6.png
9,10,0,"- Hum...Et bien, oui, cela m’a surpris en te voyant arriver, il semblerait que tu ais trouvé ton cher phœnix. Si je ne me trompe, tu l’avais perdu il y a de cela 5 ans.
- Mais ce n’est qu’un oisillon, comment est ce que c’est possible ?
- Eh bien c’est un phœnix.
- Et alors ?
- Les phœnix sont immortels enfin ! Ils renaissent de leurs cendres chaques mois. Malheureusement, cela me rappelle que le temps nous est compté …",6.png
